description,latitude,longitude,altitude
"Brazos, Texas",32.662266,-98.123619,252.0
"Brazos Country, Texas",29.753095,-96.038012,33.0
"Breckenridge, Texas",32.756751,-98.912985,370.0
"Bremond, Texas",31.165709,-96.675975,140.0
"Brenham, Texas",30.15816,-96.395616,95.0
"Briar, Texas",33.019013,-97.575402,234.0
"Briarcliff, Texas",30.409279,-98.044528,229.0
"Briaroaks, Texas",32.495376,-97.30335,241.0
"Bridge City, Texas",30.0309,-93.838115,4.0
"Bridgeport, Texas",33.210449,-97.772466,236.0
"Briggs, Texas",30.889458,-97.921803,336.0
"Bristol, Texas",32.444786,-96.567673,141.0
"Broaddus, Texas",31.304974,-94.27004,76.0
"Bronte, Texas",31.886052,-100.295123,549.0
"Brookshire, Texas",29.782391,-95.951441,52.0
"Brookside Village, Texas",29.590842,-95.317967,14.0
"Brookston, Texas",33.62349,-95.700053,183.0
"Browndell, Texas",31.125373,-93.980137,77.0
"Brownfield, Texas",33.175514,-102.273429,1010.0
"Brownsboro, Texas",32.29842,-95.613042,124.0
"Brownsville, Texas",25.995689,-97.450848,3.0
"Brownwood, Texas",31.712856,-98.977053,410.0
"Bruceville-Eddy, Texas",31.308005,-97.257385,216.0
"Brundage, Texas",28.573965,-99.670131,163.0
"Bruni, Texas",27.428162,-98.832213,236.0
"Brushy Creek, Texas",30.51283,-97.739358,258.0
"Bryan, Texas",30.666016,-96.381049,107.0
"Bryson, Texas",33.165636,-98.388799,404.0
"Buchanan Dam, Texas",30.815674,-98.452687,325.0
"Buchanan Lake Village, Texas",30.8602,-98.434312,315.0
"Buckholts, Texas",30.873986,-97.128873,155.0
"Buda, Texas",30.080402,-97.8557,213.0
"Buena Vista, Texas",26.294139,-98.610884,61.0
"Buffalo, Texas",31.458905,-96.066163,119.0
"Buffalo Gap, Texas",32.283345,-99.834245,586.0
"Buffalo Springs Lake, Texas",33.53373,-101.697632,919.0
"Bullard, Texas",32.144166,-95.317515,151.0
"Bulverde, Texas",29.774485,-98.434959,391.0
"Buna, Texas",30.442708,-93.960657,31.0
"Bunker Hill Village, Texas",29.764761,-95.531742,32.0
"Burkburnett, Texas",34.074898,-98.567286,316.0
"Burke, Texas",31.235727,-94.764823,86.0
"Burleson, Texas",32.516453,-97.327374,247.0
"Burlington, Texas",31.004604,-96.991485,133.0
"Burnet, Texas",30.7506,-98.238227,411.0
"Burton, Texas",30.185803,-96.603124,135.0
"Bushland, Texas",35.202905,-102.059002,1166.0
"Butterfield, Texas",31.842626,-106.082195,1344.0
"Byers, Texas",34.069171,-98.190931,309.0
"Bynum, Texas",31.969071,-97.003078,201.0
"Cactus, Texas",36.044376,-102.00803,1102.0
"Caddo Mills, Texas",33.074543,-96.226924,164.0
"Cade Lakes, Texas",30.515054,-96.773377,125.0
"Caldwell, Texas",30.529807,-96.699724,122.0
"Callender Lake, Texas",32.363231,-95.69904,146.0
"Callisburg, Texas",33.698711,-97.015918,249.0
"Calvert, Texas",30.979149,-96.671542,106.0
"Camargito, Texas",26.345219,-98.738798,52.0
"Cameron, Texas",30.860768,-96.976198,127.0
"Cameron Park, Texas",25.97141,-97.478173,9.0
"Camp Swift, Texas",30.188147,-97.293207,139.0
"Camp Wood, Texas",29.669047,-100.010865,445.0
"Campbell, Texas",33.147584,-95.954893,181.0
"Campo Verde, Texas",26.391658,-98.913979,55.0
"Canadian, Texas",35.909678,-100.38388,743.0
"Caney City, Texas",32.209619,-96.038142,112.0
"Canton, Texas",32.554245,-95.863534,158.0
"Cantu Addition, Texas",27.201993,-98.155678,33.0
"Canutillo, Texas",31.918485,-106.601062,1148.0
"Canyon, Texas",34.990291,-101.918951,1070.0
"Canyon Creek, Texas",32.390978,-97.73938,242.0
"Canyon Lake, Texas",29.875778,-98.26118,294.0
"Cape Royale, Texas",30.653387,-95.130627,57.0
"Carbon, Texas",32.268405,-98.827196,489.0
"Carl's Corner, Texas",32.083891,-97.053229,250.0
"Carlsbad, Texas",31.611248,-100.640647,632.0
"Carlton, Texas",31.919666,-98.17143,407.0
"Carmine, Texas",30.148534,-96.690681,130.0
"Carrizo Hill, Texas",28.50502,-99.83114,191.0
"Carrizo Springs, Texas",28.525843,-99.859255,186.0
"Carrollton, Texas",32.989386,-96.89994,147.0
"Carter, Texas",32.917851,-97.739698,351.0
"Carthage, Texas",32.152046,-94.337111,92.0
"Casa Blanca, Texas",26.297641,-98.610251,66.0
"Casas, Texas",26.475341,-98.933253,114.0
"Cashion Community, Texas",34.036458,-98.508092,314.0
"Castle Hills, Texas",29.524727,-98.519054,263.0
"Castroville, Texas",29.359864,-98.854749,237.0
"Catarina, Texas",28.350178,-99.615258,161.0
"Cedar Creek, Texas",30.082341,-97.51112,128.0
"Cedar Hill, Texas",32.584326,-96.958898,250.0
"Cedar Park, Texas",30.510177,-97.818626,289.0
"Cedar Point, Texas",30.801268,-95.078745,42.0
"Celeste, Texas",33.289675,-96.19447,198.0
"Celina, Texas",33.32296,-96.798821,206.0
"Center, Texas",31.793092,-94.180287,115.0
"Center Point, Texas",29.93455,-99.047785,487.0
"Centerville, Texas",31.258315,-95.979399,108.0
"Central Gardens, Texas",29.987973,-94.021651,5.0
"Chandler, Texas",32.30688,-95.473689,133.0
"Channelview, Texas",29.793023,-95.114482,9.0
"Channing, Texas",35.681901,-102.332244,1159.0
"Chaparrito, Texas",26.340817,-98.735352,61.0
"Chapeno, Texas",26.550879,-99.13388,100.0
"Charlotte, Texas",28.85929,-98.700638,169.0
"Chester, Texas",30.921319,-94.600096,91.0
"Chico, Texas",33.296056,-97.798605,287.0
"Childress, Texas",34.435452,-100.282382,595.0
"Chillicothe, Texas",34.255741,-99.514142,428.0
"Chilton, Texas",31.286037,-97.060402,141.0
"China, Texas",30.041136,-94.337619,10.0
"China Grove, Texas",29.392923,-98.345575,198.0
"China Spring, Texas",31.649242,-97.304793,185.0
"Chireno, Texas",31.498948,-94.345855,101.0
"Christine, Texas",28.786224,-98.497734,100.0
"Christoval, Texas",31.197614,-100.493296,647.0
"Chula Vista, Texas",26.073846,-97.439723,5.0
"Chula Vista, Texas",28.657188,-100.42465,243.0
"Chula Vista, Texas",28.659549,-99.80429,171.0
"Cibolo, Texas",29.570142,-98.217797,221.0
"Cienegas Terrace, Texas",29.368983,-100.942851,292.0
"Cinco Ranch, Texas",29.739856,-95.760674,36.0
"Circle D-KC Estates, Texas",30.160456,-97.239843,158.0
"Cisco, Texas",32.387425,-98.98192,502.0
"Citrus City, Texas",26.327914,-98.392202,70.0
"Clarendon, Texas",34.936913,-100.892111,836.0
"Clarksville, Texas",33.610958,-95.056322,138.0
"Clarksville City, Texas",32.534957,-94.893551,109.0
"Claude, Texas",35.107367,-101.362882,1039.0
"Clay, Texas",30.388513,-96.344933,69.0
"Clear Lake Shores, Texas",29.544297,-95.032537,4.0
"Cleburne, Texas",32.354993,-97.411558,250.0
"Cleveland, Texas",30.338215,-95.090283,45.0
"Clifton, Texas",31.782037,-97.581879,214.0
"Clint, Texas",31.590195,-106.228679,1111.0
"Cloverleaf, Texas",29.789089,-95.176256,11.0
"Clute, Texas",29.025851,-95.398229,8.0
"Clyde, Texas",32.405586,-99.503918,614.0
"Coahoma, Texas",32.295623,-101.308884,736.0
"Cockrell Hill, Texas",32.738177,-96.88858,194.0
"Coffee City, Texas",32.128156,-95.472439,113.0
"Coldspring, Texas",30.5893,-95.131181,119.0
"Coleman, Texas",31.831378,-99.422201,519.0
"College Station, Texas",30.58516,-96.29636,90.0
"Colleyville, Texas",32.891478,-97.149747,194.0
"Collinsville, Texas",33.559363,-96.907163,229.0
"Colmesneil, Texas",30.909656,-94.422059,85.0
"Colorado Acres, Texas",27.644899,-99.214301,172.0
"Colorado City, Texas",32.399486,-100.858304,652.0
"Columbus, Texas",29.702778,-96.557057,61.0
"Comanche, Texas",31.900484,-98.604364,429.0
"Combes, Texas",26.246514,-97.726766,14.0
"Combine, Texas",32.590079,-96.51716,125.0
"Comfort, Texas",29.972311,-98.904698,442.0
"Commerce, Texas",33.240992,-95.898869,163.0
"Como, Texas",33.059713,-95.475236,160.0
"Concepcion, Texas",27.395133,-98.355628,93.0
"Conroe, Texas",30.328717,-95.4846,79.0
"Converse, Texas",29.512488,-98.304625,205.0
"Cool, Texas",32.798325,-98.012297,284.0
"Coolidge, Texas",31.751448,-96.65222,165.0
"Cooper, Texas",33.371987,-95.690702,150.0
"Coppell, Texas",32.963306,-96.990556,157.0
"Copper Canyon, Texas",33.096676,-97.097127,195.0
"Copperas Cove, Texas",31.119575,-97.914397,342.0
"Corinth, Texas",33.144714,-97.070766,185.0
"Corpus Christi, Texas",27.754252,-97.173385,0.0
"Corral City, Texas",33.098512,-97.230394,220.0
"Corrigan, Texas",30.99881,-94.827488,71.0
"Corsicana, Texas",32.082404,-96.4667,132.0
"Cottonwood, Texas",32.451381,-96.400415,121.0
"Cottonwood Shores, Texas",30.55501,-98.327564,251.0
"Cotulla, Texas",28.436376,-99.236711,136.0
"Coupland, Texas",30.456926,-97.392366,165.0
"Cove, Texas",29.813932,-94.812187,10.0
"Covington, Texas",32.179115,-97.260853,222.0
"Coyanosa, Texas",31.240978,-103.064828,796.0
"Coyote Acres, Texas",27.713177,-98.134633,70.0
"Coyote Flats, Texas",32.355885,-97.292352,260.0
"Crandall, Texas",32.634506,-96.432064,122.0
"Crane, Texas",31.391782,-102.350269,790.0
"Cranfills Gap, Texas",31.774815,-97.832955,349.0
"Crawford, Texas",31.537859,-97.446763,215.0
"Creedmoor, Texas",30.073833,-97.737282,200.0
"Cresson, Texas",32.529861,-97.615349,322.0
"Crockett, Texas",31.317111,-95.456586,114.0
"Crosby, Texas",29.915154,-95.057681,16.0
"Crosbyton, Texas",33.641298,-101.23772,917.0
"Cross Mountain, Texas",29.649165,-98.666344,441.0
"Cross Plains, Texas",32.127068,-99.165775,530.0
"Cross Roads, Texas",33.220449,-96.995808,183.0
"Cross Timber, Texas",32.482868,-97.32674,247.0
"Crowell, Texas",33.983561,-99.724374,451.0
"Crowley, Texas",32.576468,-97.359308,233.0
"Crystal City, Texas",28.690681,-99.827103,178.0
"Cuero, Texas",29.102727,-97.287092,62.0
"Cuevitas, Texas",26.256627,-98.577558,40.0
"Cumby, Texas",33.13512,-95.838533,197.0
"Cumings, Texas",29.585265,-95.795377,27.0
"Cuney, Texas",32.037434,-95.414719,139.0
"Cushing, Texas",31.811939,-94.841687,130.0
"Cut and Shoot, Texas",30.335475,-95.345054,61.0
"César Chávez, Texas",26.310953,-98.111875,27.0
"D'Hanis, Texas",29.329008,-99.268722,269.0
"DISH, Texas",33.128665,-97.307872,195.0
"Daingerfield, Texas",33.030488,-94.72588,125.0
